month (MWh),Net import + export (MWh)
1,2.768094733991067
2,1.8272178522760136
3,1.1391174923563787
4,0.5040636386265849
5,0.9342834480942542
6,1.578859460978215
7,1.6525434818098157
8,1.9987242706172825
9,2.031479256825499
10,2.373757977189289
11,2.6040319544282906
12,2.042920093781002
