Date time,Hydraulic & pumping (MW),Wind (MW),PV (MW),CSP (MW),Biomass & biogas (MW),Cogeneration (MW),Combined cycle (MW),Importation (MW),Exportation (MW),Demand (MW)
09-07-2030 02:00:00,1049.771,4966.913673437071,2.0158164726391963,1426.3128711136326,5000.0,8500.0,0.0,4556.511698630649,0.0,25501.52505965399
09-07-2030 03:00:00,1096.5910000000001,4517.787021477202,4.895554290695191,1032.2400838773074,5000.0,8500.0,0.0,5047.761011413488,0.0,25199.27467105869
09-07-2030 04:00:00,1156.982,4193.8901557191775,23.65599261271364,741.7934342428902,5000.0,8500.0,0.0,5467.930564556147,0.0,25084.252147130926
09-07-2030 05:00:00,1171.995,4070.39013897646,1130.6623286273168,368.1039608749603,5000.0,8500.0,0.0,4363.742890506524,0.0,24604.89431898526
09-07-2030 06:00:00,1501.32,3587.362372462989,5302.159223103146,580.4226488976792,5000.0,8500.0,0.0,1121.3446412446574,0.0,25592.608885708472
09-07-2030 07:00:00,1495.954,3202.389063065981,10561.150473938555,3686.2236841612935,0.0,8481.802587708475,0.0,0.0,0.0,27427.519808874305
09-07-2030 08:00:00,1510.0929999999998,2893.182417298371,15439.960142784368,6919.453307415071,0.0,2521.3450796962643,0.0,0.0,0.0,29284.033947194075
09-07-2030 09:00:00,1447.024,3028.956499427815,19313.62893311623,8704.560951915384,0.0,0.0,0.0,0.0,0.0,30387.54953208484
09-07-2030 10:00:00,1411.253,3398.3145467861395,21792.696888169772,10084.514761470267,0.0,0.0,0.0,0.0,0.0,31078.073922771346
09-07-2030 11:00:00,1642.768,3339.2144189944165,23089.569255154347,12391.504454291384,0.0,0.0,0.0,0.0,0.0,31785.72518673304
09-07-2030 12:00:00,1754.196,3625.582979736651,23044.280110152336,13853.289136466316,0.0,0.0,0.0,0.0,0.0,32098.09600044552
09-07-2030 13:00:00,1363.724,4203.720453306748,22112.825401026734,14406.504041113856,0.0,0.0,0.0,0.0,0.0,31324.661973222246
09-07-2030 14:00:00,1176.578,4680.290676822285,20220.950034576363,14485.137259741647,0.0,0.0,0.0,0.0,0.0,30635.889194575262
09-07-2030 15:00:00,1222.074,4767.0592264756515,17486.638976332193,14255.792102409503,0.0,0.0,0.0,0.0,0.0,30406.038770279658
09-07-2030 16:00:00,1157.813,4864.330652263412,13550.536065354727,13804.085408693676,0.0,0.0,0.0,0.0,0.0,30570.10643131368
09-07-2030 17:00:00,1359.093,4779.889500514003,8645.204713579697,13862.397605413958,0.0,0.0,0.0,0.0,0.0,30930.549264332687
09-07-2030 18:00:00,1877.171,4995.355264771895,3537.57529196162,10970.83938763161,0.0,0.0,0.0,0.0,0.0,31680.62846436249
09-07-2030 19:00:00,2486.625,5529.80866310734,357.29117821144,6084.346515761754,0.0,0.0,0.0,0.0,0.0,32832.60531567969
09-07-2030 20:00:00,2623.641,6655.429018532843,2.1001014819481525,4263.843194819006,0.0,0.0,0.0,0.0,0.0,34400.10346748046
09-07-2030 21:00:00,1965.228,7618.356370987179,2.029863974190689,4090.3116344426335,5000.0,8500.0,0.0,110.35317584221411,0.0,32866.27519155026
09-07-2030 22:00:00,1238.971,8304.307593901527,0.8849925977440375,4041.2878612236705,5000.0,8500.0,0.0,3671.8828482582867,0.0,30757.334295981233
09-07-2030 23:00:00,1001.182,8451.124981848146,5.885903150075423,4042.1599486761042,5000.0,8500.0,0.0,1881.7834622323498,0.0,28882.13629590668
10-07-2030 00:00:00,959.5279999999999,8280.09871095814,1.4258214074765048,3953.4908030163365,5000.0,8500.0,0.0,806.3495555917889,0.0,27500.89289097374
10-07-2030 01:00:00,980.835,7433.022520101139,2.90783282115898,3555.106027820754,5000.0,8500.0,0.0,1602.7959139501181,0.0,27074.66729469317
10-07-2030 02:00:00,975.908,6355.6246658230075,0.9763013578287398,2511.9094801561223,5000.0,8500.0,0.0,3589.5360135156443,0.0,26933.954460852605
10-07-2030 03:00:00,951.7760000000001,5793.871679022562,5.710309380681766,1892.0352560292902,5000.0,8500.0,0.0,5276.341622043947,0.0,27419.73486647648
10-07-2030 04:00:00,1128.1979999999999,5152.896434416672,23.33992382780505,1420.2428655915332,5000.0,8500.0,1450.939325968331,7000.0,0.0,29675.616549804337
10-07-2030 05:00:00,1469.065,4237.662987653556,1250.192519328968,1072.5222185849686,5000.0,8500.0,3826.7241153657014,7000.0,0.0,32356.16684093319
10-07-2030 06:00:00,2256.594,3600.815915770536,5677.852628347041,1420.007540405956,5000.0,8500.0,1980.8145925466124,7000.0,0.0,35436.08467707015
10-07-2030 07:00:00,3054.085,3282.7296552879907,10950.680668210669,8157.589086014632,3837.187282699415,8500.0,0.0,0.0,0.0,37782.27169221271
10-07-2030 08:00:00,3014.6459999999997,3085.8850466328777,15588.463305435973,13939.355862426757,0.0,3980.6582113652257,0.0,0.0,0.0,39609.00842586083
10-07-2030 09:00:00,3157.483,3490.11067038628,19063.351621724058,14833.037861301886,0.0,0.0,0.0,0.0,0.0,40383.22094732386
10-07-2030 10:00:00,2802.673,4652.997005470601,21397.266743246026,14910.0999382495,0.0,0.0,0.0,0.0,0.0,41278.489323072994
10-07-2030 11:00:00,2546.8230000000003,5732.160131887753,22745.805820936996,14912.57777402705,0.0,0.0,0.0,0.0,0.0,41869.17182750749
10-07-2030 12:00:00,2161.225,6556.500801016841,23045.46010028266,14803.539157156858,0.0,0.0,0.0,0.0,0.0,41230.02805664656
10-07-2030 13:00:00,1677.3410000000001,7011.5228702097065,22461.407128276252,14780.048166573046,0.0,0.0,0.0,0.0,0.0,40310.431735904276
10-07-2030 14:00:00,1513.577,7613.121698074375,20657.729000316922,14771.25807875883,0.0,0.0,0.0,0.0,0.0,40044.77057657872
10-07-2030 15:00:00,1366.043,8525.031699525482,17732.400015975556,14700.639759098647,0.0,0.0,0.0,0.0,0.0,40114.835058159086
10-07-2030 16:00:00,1200.0190000000002,9795.485237565925,13758.02468702105,14431.26855623138,0.0,0.0,0.0,0.0,0.0,39412.24400675596
10-07-2030 17:00:00,1259.897,9763.221191029514,8683.526297812168,14518.449616158823,0.0,0.0,0.0,0.0,0.0,38986.79690471517
10-07-2030 18:00:00,1414.46,10357.658339411742,3502.5267755906466,11683.314072283149,0.0,0.0,0.0,0.0,0.0,38390.85956416217
10-07-2030 19:00:00,1706.173,9886.882942202845,351.2788475474012,6743.284720694435,3007.491297367811,8500.0,0.0,0.0,0.0,38163.34462258591
10-07-2030 20:00:00,1840.4199999999998,9609.616874110417,2.9359278242619653,4691.657460869739,5000.0,8500.0,1113.118860855153,7000.0,0.0,37757.749123659574
10-07-2030 21:00:00,1385.7,8811.161603364006,2.170338989705616,4505.757485592578,5000.0,8500.0,0.0,6971.472796596663,0.0,35176.26222454295
10-07-2030 22:00:00,1165.0149999999999,7814.99782541847,0.8428500930895595,4393.258204228603,5000.0,8500.0,0.0,6379.656819661526,0.0,33253.770699401684
10-07-2030 23:00:00,1099.9679999999998,6982.043811673627,6.911370763334388,4299.529567078921,5000.0,8500.0,0.0,5456.255450380751,0.0,31344.70819989663
11-07-2030 00:00:00,1040.222,5546.100448435054,1.446892659803744,4291.431612163463,5000.0,8500.0,0.0,5555.07030771354,0.0,29934.271260971862
11-07-2030 01:00:00,1085.7549999999999,3638.0345585228324,3.9473479359694372,4257.427122847528,5000.0,8500.0,0.0,6856.673115191545,0.0,29341.837144497873
11-07-2030 02:00:00,1051.7489999999998,2981.0811355949318,1.3345126473918025,4107.178913185344,5000.0,8500.0,356.78837620652484,7000.0,0.0,28998.13193763419
11-07-2030 03:00:00,1063.5900000000001,2445.8368164463614,7.445175822291109,3916.544748880684,5000.0,8500.0,1345.3623699262025,7000.0,0.0,29278.779111075535
11-07-2030 04:00:00,1065.1609999999998,2304.7886139820134,22.771000014969598,3186.4552819557753,5000.0,8500.0,3993.4485671401235,7000.0,0.0,31072.624463092885
11-07-2030 05:00:00,1302.9930000000002,1918.1230101768726,1220.144913510325,1598.6678055621185,5000.0,8500.0,6790.13440565097,7000.0,0.0,33330.06313490029
11-07-2030 06:00:00,1858.692,1487.992264329741,5975.448948715413,1792.257377344471,5000.0,8500.0,4593.376501864299,7000.0,0.0,36207.767092253926
11-07-2030 07:00:00,2411.508,1069.7845018126377,11630.017843240856,9459.934033631886,5000.0,8500.0,0.0,594.4236521197745,0.0,38665.66803080516
11-07-2030 08:00:00,2815.687,865.2377839923046,16410.0665524289,14547.186974115217,0.0,5653.764187173036,0.0,0.0,0.0,40291.94249770945
11-07-2030 09:00:00,2950.441,1208.055605761075,19887.53960900246,14843.558281362994,0.0,2200.3045973593125,0.0,0.0,0.0,41089.89909348584
11-07-2030 10:00:00,3477.393,1918.925765216628,22006.51390928504,14730.20075520456,0.0,56.099530351593785,0.0,0.0,0.0,42189.13296005782
11-07-2030 11:00:00,2887.668,2962.9530727684155,23114.71428293152,14706.958932464298,0.0,0.0,0.0,0.0,0.0,42694.570345236185
11-07-2030 12:00:00,2286.4500000000003,3803.1614674376333,23375.260317957833,14733.093870721363,0.0,0.0,0.0,0.0,0.0,42094.74053348427
11-07-2030 13:00:00,1966.49,4482.134441382314,22680.351487457814,14767.95660483176,0.0,0.0,0.0,0.0,0.0,41404.21614279778
11-07-2030 14:00:00,1698.682,5070.595305316244,20977.51334938588,14820.773266335911,0.0,0.0,0.0,0.0,0.0,41357.506488410865
