month (%),PV (%),CSP (%),Wind (%),Hydraulic & pumping (%),Biomass & biogas (%),Cogeneration (%),Combined cycle (%),Exportation (%),Importation (%)
1,6.975102479527785,5.046178253603427,32.644799397621114,8.672563030463387,10.84632378895889,21.801461380531602,3.747176781133441,0.0,10.266394888160358
2,7.483295401314402,3.4732188322058852,38.63095716569988,9.586528158446724,9.553850392012265,20.76249168656026,2.6661586213014075,-0.18049294923490744,7.843499742459176
3,11.485469753912735,12.48566697986055,35.017226019015915,11.982471402653024,7.034153176800938,16.795778918848107,0.5704517235142309,-0.09328437564596764,4.628782025394506
4,15.038386623561852,22.090971920813296,34.67778621322418,9.503422585720509,4.8405493908484996,11.459633759491204,0.10507850986749495,-0.36730987866348164,2.284170996472976
5,14.721509239188943,23.563593651783087,26.694508036770888,8.909023843356179,6.407244781557367,15.40148970302063,0.3366294854536412,-0.01598844568258315,3.9660012588692433
6,13.790107897253455,27.312624580915077,22.840919490346653,6.820445146079859,6.74431175323224,14.908789937462792,1.353149938064986,-0.024690665499813403,6.229651256644936
7,13.877148481021438,28.25957030204466,23.31597284177964,4.922875374790091,6.988472190555599,14.994959180030191,1.337612920044243,0.0,6.303388709734146
8,12.716681821152578,24.774237364307993,23.728540264833192,4.688064128889498,7.694040707601284,16.29012461548514,2.267541689553542,0.0,7.840769408176778
9,13.057027723944259,23.416112712010662,21.81190035783845,5.358669863733235,8.492534632739233,16.929459579592518,2.3406668352441256,-0.011459042879234578,8.593628294897533
10,11.491316509322736,15.399334994121475,24.73873521595341,3.8401315034464996,10.042025011153784,21.193044733549186,3.2431607851822886,0.0,10.052251247270616
11,8.786297760250363,8.222649926535388,29.675246863178273,4.312953201463349,11.031305850304259,21.241364550666713,6.08560205287923,-0.00730380303923811,10.644579794722443
12,6.547734229038288,4.6032124545750195,40.54316715286013,6.004738919863853,9.574559427672773,21.301320278053772,3.5629076710681327,-0.04611120175410736,7.862359866868039
