Date time,Hydraulic & pumping (MW),Wind (MW),PV (MW),CSP (MW),Biomass & biogas (MW),Cogeneration (MW),Combined cycle (MW),Importation (MW),Exportation (MW),Demand (MW)
01-04-2030 00:00:00,2016.9940000000001,20155.985763740046,0.5408288097324674,1280.4112560556423,0.0,3850.5858703833474,0.0,0.0,0.0,27304.517718988765
01-04-2030 01:00:00,1894.3840000000002,20278.075535142652,4.78317427828325,1238.0734866386722,0.0,2986.1482047822083,0.0,0.0,0.0,26401.464400841818
01-04-2030 02:00:00,1823.3229999999996,20852.856033091954,0.7093988283503792,806.9854319768186,0.0,2489.029457944785,0.0,0.0,0.0,25972.903321841906
01-04-2030 03:00:00,1902.057,20602.071019455925,3.069379089001146,306.67716611027026,0.0,3000.2159322712196,0.0,0.0,0.0,25814.090496926416
01-04-2030 04:00:00,2007.265,19955.322644625554,2.1843864912571087,56.64415643427863,0.0,4346.183713860213,0.0,0.0,0.0,26367.599901411304
01-04-2030 05:00:00,2260.2400000000002,19741.547202404694,42.261908417665666,64.61752742796008,0.0,5427.842364193441,0.0,0.0,0.0,27536.509002443763
01-04-2030 06:00:00,2394.3769999999995,19362.06694653525,1899.0747109955169,65.24044703684146,0.0,4998.477271664725,0.0,0.0,0.0,28719.236376232333
01-04-2030 07:00:00,2655.288,18472.474324137787,9627.98899337445,632.1526617507826,0.0,38.546115810700826,0.0,0.0,0.0,31426.450095073724
01-04-2030 08:00:00,2637.209,19245.180290107768,16418.277317085747,7399.302124794362,0.0,0.0,0.0,0.0,-5163.0861730792785,38300.66660719352
01-04-2030 09:00:00,2597.549,20391.692000277963,20811.984614853864,12635.661255656927,0.0,0.0,0.0,0.0,-7000.0,39996.67297671371
01-04-2030 10:00:00,2363.841,21066.50129881988,23236.74492890934,13991.217380530625,0.0,0.0,0.0,0.0,-7000.0,39587.18500658848
01-04-2030 11:00:00,2356.158,21419.135611578484,24131.725300256487,14446.509322662012,0.0,0.0,0.0,0.0,-7000.0,39562.07856735551
01-04-2030 12:00:00,2344.016,22058.71047269979,24296.994156009798,14008.257692498024,0.0,0.0,0.0,0.0,-7000.0,38822.89828668263
01-04-2030 13:00:00,2448.995,22537.86252999184,23274.09723553475,13505.312400287212,0.0,0.0,0.0,0.0,-7000.0,37406.03877027966
01-04-2030 14:00:00,2223.214,23010.16454243605,21198.614000055593,14008.29922047195,0.0,0.0,0.0,0.0,-7000.0,36330.3543544611
01-04-2030 15:00:00,2047.7089999999998,23371.859928051257,17922.652353238198,14176.605177462703,0.0,0.0,0.0,0.0,-7000.0,35843.79545459743
01-04-2030 16:00:00,2361.576,22336.534721814947,13003.842423724513,14138.440969425239,0.0,0.0,0.0,0.0,-7000.0,35807.011601767736
01-04-2030 17:00:00,2721.378,20138.703848117595,5678.323219649017,12081.733454123669,0.0,0.0,0.0,0.0,0.0,29022.654506187322
01-04-2030 18:00:00,4105.044,16766.473909195745,434.4962467384437,6250.652208675102,0.0,0.0,0.0,0.0,0.0,30950.01162032724
01-04-2030 19:00:00,5303.619,15501.61993272254,4.3968679856172015,3971.825403504411,0.0,0.0,0.0,0.0,0.0,34092.987489886524
01-04-2030 20:00:00,4736.475,13616.853662674275,0.9201113516227691,3791.8916138145355,0.0,0.0,0.0,0.0,0.0,32784.53329637318
01-04-2030 21:00:00,4237.112,12369.814142021884,4.4249629887201865,3778.159697103195,0.0,0.0,0.0,0.0,0.0,31013.264277309503
01-04-2030 22:00:00,2800.2169999999996,11399.971656473243,0.33714003723582375,3755.4438953659883,0.0,0.0,0.0,0.0,0.0,29017.010422948886
01-04-2030 23:00:00,2793.8689999999997,10707.626006436321,6.813038252473939,3722.61603197794,0.0,0.0,0.0,0.0,0.0,27097.438251206797
02-04-2030 00:00:00,2813.383,10559.280030883288,0.47059130197500404,3130.676291644944,0.0,0.0,0.0,0.0,0.0,25545.12073708179
02-04-2030 01:00:00,2646.19,10625.16708764749,5.822689393093707,2574.9143379299785,0.0,0.0,0.0,0.0,0.0,24796.0146548517
02-04-2030 02:00:00,2378.5119999999997,10540.948813832953,1.2853463919615782,2075.0905650925597,0.0,0.0,0.0,0.0,0.0,24485.395453178735
02-04-2030 03:00:00,2397.712,10617.445254771217,3.483780384770179,1540.9577644637538,0.0,0.0,0.0,0.0,0.0,24392.170767964857
02-04-2030 04:00:00,2388.3190000000004,10888.01906770421,2.98509407969219,603.9413247974444,0.0,0.0,0.0,0.0,0.0,24657.637303730473
02-04-2030 05:00:00,2480.647,11045.142094674717,48.8782816484187,107.51592449292332,0.0,0.0,0.0,0.0,0.0,25318.773536865207
02-04-2030 06:00:00,2387.763,11217.04212596426,2241.939105113574,116.44443888688953,0.0,0.0,0.0,0.0,0.0,25646.51961181336
02-04-2030 07:00:00,2958.161,10539.372889320015,10222.661876553788,1043.106570387793,0.0,0.0,0.0,0.0,0.0,27583.02403327072
02-04-2030 08:00:00,2598.395,11686.233709175804,17164.578932011897,9794.63566081283,0.0,0.0,0.0,0.0,-2416.8219570031124,31449.2076411877
02-04-2030 09:00:00,2350.4539999999997,12639.192698065217,21580.474258480597,14493.546674461544,0.0,0.0,0.0,0.0,-6860.250660191072,36570.12095654581
02-04-2030 10:00:00,2283.3729999999996,13191.324458615227,24062.03564505953,14686.935527703256,0.0,0.0,0.0,0.0,-7000.0,36793.558427131284
02-04-2030 11:00:00,2127.9069999999997,13389.171031791704,25396.337579928062,14677.43946433231,0.0,0.0,0.0,0.0,-7000.0,36727.775663869725
02-04-2030 12:00:00,2164.719,13282.479561606226,25446.93668051654,14685.904249684108,0.0,0.0,0.0,0.0,-7000.0,36486.83169665724
02-04-2030 13:00:00,2267.635,13230.436577628372,24560.553380118898,14693.621531505249,0.0,0.0,0.0,0.0,-7000.0,35107.72915088371
02-04-2030 14:00:00,2009.393,13222.223624346943,22565.225188492557,14674.56019147348,0.0,0.0,0.0,0.0,-7000.0,34176.65004010459
02-04-2030 15:00:00,1833.9109999999998,13715.586615450877,19180.648259679023,14622.6502240667,0.0,0.0,0.0,0.0,-7000.0,33710.72123759516
02-04-2030 16:00:00,2129.757,14220.900203080311,13841.403632479934,14529.274574695382,0.0,0.0,0.0,0.0,-3449.8105812539197,30192.060835560245
02-04-2030 17:00:00,2569.2540000000004,13896.062516305179,6300.114804573513,13022.44588346934,0.0,0.0,0.0,0.0,0.0,27540.401473642665
02-04-2030 18:00:00,3653.969,12696.567001140022,578.3145676226255,7233.224835737603,0.0,0.0,0.0,0.0,0.0,30013.6776734296
02-04-2030 19:00:00,5254.738,12353.993753388277,5.991259411711618,4389.901359669631,0.0,0.0,0.0,0.0,0.0,33751.42314218222
02-04-2030 20:00:00,4582.992,12074.907186765888,0.9411826039500081,4006.494340403152,0.0,0.0,0.0,0.0,0.0,32984.80093955705
02-04-2030 21:00:00,3519.8559999999998,11408.109659652679,4.78317427828325,3980.2694248692464,0.0,0.0,0.0,0.0,0.0,30553.56342871832
02-04-2030 22:00:00,2580.8140000000003,11054.42604546619,0.3863062926660481,3975.2999106561715,0.0,0.0,0.0,0.0,0.0,28041.946387622116
02-04-2030 23:00:00,2418.13,10376.549709855914,6.742800744716476,3962.384710765365,0.0,0.0,0.0,0.0,0.0,26177.452683344603
03-04-2030 00:00:00,2198.529,9525.806881114624,0.5197575574052284,3965.153242360393,0.0,0.0,0.0,0.0,0.0,25083.084405771257
03-04-2030 01:00:00,2084.324,8969.024269498907,5.780546888439229,3805.955754317279,0.0,0.0,0.0,0.0,0.0,24805.16196216913
03-04-2030 02:00:00,2115.497,8054.143877163593,1.2151088842041151,3587.836992602976,0.0,0.0,0.0,0.0,0.0,24707.266311516574
03-04-2030 03:00:00,2339.8430000000003,7508.666896722024,3.497827886321672,2645.906409355491,0.0,0.0,0.0,0.0,0.0,25475.056255501415
03-04-2030 04:00:00,3419.2,6827.587430437147,2.90783282115898,1109.758968538099,0.0,0.0,0.0,0.0,0.0,28680.311664243236
03-04-2030 05:00:00,5080.222,6263.4597088262235,52.05301699905605,216.55454136311218,0.0,5838.232506721219,0.0,0.0,0.0,33364.90075213055
03-04-2030 06:00:00,6408.32,5271.280120512888,2563.612843141204,196.38578869333114,5000.0,8500.0,1164.8232295754497,7000.0,0.0,36104.421981922875
03-04-2030 07:00:00,7111.532,4139.13516147188,10916.812141970022,2049.87616359084,4747.09595178901,8500.0,0.0,0.0,0.0,37464.45141882175
03-04-2030 08:00:00,6237.438999999999,3668.2394496255715,17689.189901203164,11676.378900637603,0.0,0.0,0.0,0.0,0.0,37511.16107320867
03-04-2030 09:00:00,6593.2080000000005,3478.633442925993,21874.902867249108,13790.381177298286,0.0,0.0,0.0,0.0,0.0,37373.36759276728
03-04-2030 10:00:00,6045.307,3446.08340257935,24388.366129851478,13736.7477989736,0.0,0.0,0.0,0.0,0.0,37461.33744186263
03-04-2030 11:00:00,5830.466,3462.755855530339,25643.622773489762,13897.94555109412,0.0,0.0,0.0,0.0,0.0,37182.441880460785
03-04-2030 12:00:00,5298.999,3471.231134168739,25767.374238407636,13577.08658188832,0.0,0.0,0.0,0.0,0.0,35909.409174857516
03-04-2030 13:00:00,4790.290000000001,3578.537984138994,24849.742270808707,13770.094762035716,0.0,0.0,0.0,0.0,0.0,34939.79459920921
03-04-2030 14:00:00,4306.11,3841.8929188275038,22787.765708071307,14339.325621960494,0.0,0.0,0.0,0.0,0.0,34515.51523852812
03-04-2030 15:00:00,4347.798,4164.434765636359,19255.584656705454,14242.247061580825,0.0,0.0,0.0,0.0,0.0,34103.30253856362
03-04-2030 16:00:00,3996.322,4840.230249730804,13937.49556684292,14043.97175007389,0.0,0.0,0.0,0.0,0.0,33616.74363869997
03-04-2030 17:00:00,3790.563,5684.6338777404635,6231.67537701464,12467.625230496686,0.0,0.0,0.0,0.0,0.0,33475.25231061961
03-04-2030 18:00:00,5400.1810000000005,6676.898278011315,585.0714158688934,6916.137990830025,0.0,0.0,0.0,0.0,0.0,35259.171861079725
03-04-2030 19:00:00,6553.183000000001,7893.839415600641,5.541739362063854,4200.457663950833,0.0,0.0,0.0,0.0,0.0,38265.52199155728
03-04-2030 20:00:00,5025.778,8185.27105296954,1.0605863671376958,3849.7885307955644,0.0,0.0,0.0,0.0,0.0,35433.7491943508
03-04-2030 21:00:00,3546.134,7903.02869257907,4.579485505786606,3797.2971717538276,0.0,0.0,0.0,0.0,0.0,32305.370091787434
03-04-2030 22:00:00,2989.668,7803.5442664114435,0.3090450341328385,3596.689372378079,5000.0,8500.0,0.0,262.51119040790763,0.0,30185.530276861446
03-04-2030 23:00:00,2588.411,8267.083034035915,6.377565704377666,3423.483114464122,5000.0,8500.0,0.0,592.7065614435342,0.0,28378.061275647946
04-04-2030 00:00:00,2334.2729999999997,8784.605598805609,1.0324913640347104,3022.4751555822504,4749.517451652391,8500.0,0.0,0.0,0.0,27391.903697404287
04-04-2030 01:00:00,2131.285,9423.340229836162,5.801618140766467,2459.7849515507273,4278.090040042955,8500.0,0.0,0.0,0.0,26798.30183957061
04-04-2030 02:00:00,2046.3639999999998,10405.646128397615,1.8964127094515089,1915.879234391471,3760.9451789590275,8500.0,0.0,0.0,0.0,26630.730954457566
04-04-2030 03:00:00,1968.924,11557.87574240135,3.863062926660481,1335.4081361908788,3723.582367290088,8500.0,0.0,0.0,0.0,27089.653308808975
04-04-2030 04:00:00,2515.9439999999995,11847.26597567652,3.3433053692552526,540.5281086133217,5000.0,8500.0,0.0,1170.6395094926775,0.0,29577.720899151776
04-04-2030 05:00:00,4545.174,12420.579029523664,58.423558952657956,238.30827837104687,5000.0,8500.0,0.0,3166.8242091250104,0.0,33929.30907597238
04-04-2030 06:00:00,5956.662,12075.725720774482,2420.0895197896043,137.62370558885587,5000.0,8500.0,0.0,2296.525197690842,0.0,36386.62614384379
04-04-2030 07:00:00,5843.0779999999995,10940.878613319555,10372.991214407088,1945.4956011292861,0.0,8320.942418817362,0.0,0.0,0.0,37423.38584767329
04-04-2030 08:00:00,4376.329,11293.909372670274,16987.334581185936,11480.96901933152,0.0,0.0,0.0,0.0,0.0,37338.72459909701
04-04-2030 09:00:00,4142.079,11252.698650801358,21286.958737312932,14314.042007168899,0.0,0.0,0.0,0.0,0.0,37358.965449331314
04-04-2030 10:00:00,4150.758,11240.52123159878,23904.710651433586,14558.337235114193,0.0,0.0,0.0,0.0,-1741.817003075741,39295.989883032365
04-04-2030 11:00:00,3763.2119999999995,11534.457780271088,24749.583584746564,14496.619744532027,0.0,0.0,0.0,0.0,-2864.227613877021,40047.25336501765
04-04-2030 12:00:00,2927.9649999999997,12115.42166163472,24981.81688039584,14417.958840588282,0.0,0.0,0.0,0.0,-4029.3815065572435,40025.203542030555
04-04-2030 13:00:00,2546.045,12912.951890332864,24372.24662182114,14599.38071601049,0.0,0.0,0.0,0.0,-4709.670507955729,39831.243512154004
04-04-2030 14:00:00,2413.2259999999997,13617.585412354249,22510.601478709577,14639.787434639926,0.0,0.0,0.0,0.0,-3703.795660825992,38541.412891063825
04-04-2030 15:00:00,2160.39,14477.681224875685,19014.396078817106,14500.70332863469,0.0,0.0,0.0,0.0,-1334.3003549493787,35652.46730369279
04-04-2030 16:00:00,2116.576,15403.366266124465,13899.405766386046,14389.671369016081,0.0,0.0,0.0,0.0,0.0,34059.12299045602
04-04-2030 17:00:00,2601.613,15860.936638785055,6419.637971524387,13174.161414876891,0.0,0.0,0.0,0.0,0.0,34043.55310566034
04-04-2030 18:00:00,3646.0370000000003,16270.797326785587,635.6915877096972,7363.110495518354,0.0,0.0,0.0,0.0,0.0,35665.7404778058
04-04-2030 19:00:00,4787.919,16318.950794944281,6.595301978425804,4452.546308336135,0.0,0.0,0.0,0.0,0.0,38197.59836913632
04-04-2030 20:00:00,3677.376,16760.389144336667,1.0746338686891883,4054.4522289580295,0.0,0.0,0.0,0.0,0.0,35500.31045185215
04-04-2030 21:00:00,2356.2650000000003,16591.07686393695,4.453057991823172,4027.9504602646216,0.0,0.0,0.0,0.0,0.0,32308.289445186616
04-04-2030 22:00:00,2345.605,15571.059229846936,0.35821128956306275,4040.644177627826,0.0,0.0,0.0,0.0,0.0,30053.18625609854
04-04-2030 23:00:00,2178.2039999999997,15843.646833678184,6.440779461359384,4051.074620412095,0.0,0.0,0.0,0.0,0.0,28410.174163038948
05-04-2030 00:00:00,1814.586,15928.892712838451,0.3301162864600775,4035.7369553756384,0.0,0.0,0.0,0.0,0.0,27114.1758773621
05-04-2030 01:00:00,1723.7009999999998,16109.891292035594,4.811269281386236,4038.1248138763513,0.0,0.0,0.0,0.0,0.0,26688.144904641482
